binary,bins,shape,algo,gibps_median,exit_ok,direct_ran,runs
multi_range,65536,concentrated:0.0,direct_cuckoo,1352.47,1,1,1352.5;1352.5;1352.1
multi_range,65536,hash_synonym,direct_cuckoo,599.48,1,1,599.0;599.6;599.5
multi_range,65536,powerlaw:0.5,direct_cuckoo,496.58,1,1,496.2;496.8;496.6
multi_range,65536,stale_resident,direct_cuckoo,396.51,1,1,396.4;396.8;396.5
multi_range,65536,concentrated:0.0,direct_single_probe,1330.87,1,1,1330.9;1331.0;1330.3
multi_range,65536,hash_synonym,direct_single_probe,621.26,1,1,621.4;621.0;621.3
multi_range,65536,powerlaw:0.5,direct_single_probe,523.45,1,1,523.4;523.8;523.4
multi_range,65536,stale_resident,direct_single_probe,414.62,1,1,414.8;414.6;414.6
multi_range,65536,concentrated:0.0,gmem_privatized_cuckoo,318.55,1,1,318.8;318.5;318.5
multi_range,65536,hash_synonym,gmem_privatized_cuckoo,223.23,1,1,223.1;223.4;223.2
multi_range,65536,powerlaw:0.5,gmem_privatized_cuckoo,277.69,1,1,278.7;277.7;277.6
multi_range,65536,stale_resident,gmem_privatized_cuckoo,134.97,1,1,135.0;134.9;135.0
multi_range,65536,concentrated:0.0,gmem_privatized_single_probe,318.53,1,1,318.5;318.6;318.4
multi_range,65536,hash_synonym,gmem_privatized_single_probe,223.64,1,1,223.6;223.1;223.7
multi_range,65536,powerlaw:0.5,gmem_privatized_single_probe,278.43,1,1,278.4;278.2;278.5
multi_range,65536,stale_resident,gmem_privatized_single_probe,134.92,1,1,134.9;135.0;134.9
multi_range,262144,concentrated:0.0,default,1331.69,1,1,1331.7;1331.9;1331.3
multi_range,262144,hash_synonym,default,504.10,1,1,504.4;504.1;504.1
multi_range,262144,powerlaw:0.5,default,279.03,1,1,279.8;279.0;279.0
multi_range,262144,stale_resident,default,415.81,1,1,415.8;415.6;416.0
multi_range,262144,concentrated:0.0,gmem_privatized_nocache,257.07,1,1,257.0;257.1;257.1
multi_range,262144,hash_synonym,gmem_privatized_nocache,100.83,1,1,100.8;100.9;100.6
multi_range,262144,powerlaw:0.5,gmem_privatized_nocache,214.19,1,1,213.8;214.3;214.2
multi_range,262144,stale_resident,gmem_privatized_nocache,125.53,1,1,125.3;125.5;125.5
multi_range,262144,concentrated:0.0,direct_cuckoo,1332.21,1,1,1331.8;1332.5;1332.2
multi_range,262144,hash_synonym,direct_cuckoo,504.46,1,1,504.5;504.5;504.0
multi_range,262144,powerlaw:0.5,direct_cuckoo,278.86,1,1,279.1;278.9;278.8
multi_range,262144,stale_resident,direct_cuckoo,415.63,1,1,415.4;415.8;415.6
multi_range,262144,concentrated:0.0,direct_single_probe,1332.25,1,1,1331.2;1332.6;1332.3
multi_range,262144,hash_synonym,direct_single_probe,504.10,1,1,504.1;504.3;504.0
multi_range,262144,powerlaw:0.5,direct_single_probe,279.03,1,1,279.2;279.0;278.6
multi_range,262144,stale_resident,direct_single_probe,415.67,1,1,415.7;415.9;415.7
multi_range,262144,concentrated:0.0,gmem_privatized_cuckoo,256.89,1,1,256.7;257.1;256.9
multi_range,262144,hash_synonym,gmem_privatized_cuckoo,100.82,1,1,100.7;100.8;100.8
multi_range,262144,powerlaw:0.5,gmem_privatized_cuckoo,213.62,1,1,213.6;213.4;213.7
multi_range,262144,stale_resident,gmem_privatized_cuckoo,125.49,1,1,125.5;125.5;125.5
multi_range,262144,concentrated:0.0,gmem_privatized_single_probe,257.08,1,1,256.8;257.1;257.2
multi_range,262144,hash_synonym,gmem_privatized_single_probe,100.55,1,1,100.6;100.5;100.6
multi_range,262144,powerlaw:0.5,gmem_privatized_single_probe,213.71,1,1,213.7;213.6;214.2
multi_range,262144,stale_resident,gmem_privatized_single_probe,125.46,1,1,125.4;125.5;125.6
multi_range,1048576,concentrated:0.0,default,1346.64,1,1,1346.6;1346.4;1346.9
multi_range,1048576,hash_synonym,default,509.57,1,1,509.6;509.1;509.6
multi_range,1048576,powerlaw:0.5,default,484.69,1,1,485.0;484.6;484.7
multi_range,1048576,stale_resident,default,420.16,1,1,420.1;420.2;420.6
multi_range,1048576,concentrated:0.0,gmem_privatized_nocache,162.98,1,1,163.0;163.0;163.0
multi_range,1048576,hash_synonym,gmem_privatized_nocache,81.79,1,1,81.8;81.8;81.7
multi_range,1048576,powerlaw:0.5,gmem_privatized_nocache,133.81,1,1,134.1;133.6;133.8
multi_range,1048576,stale_resident,gmem_privatized_nocache,99.51,1,1,99.3;99.7;99.5
multi_range,1048576,concentrated:0.0,direct_cuckoo,1347.06,1,1,1347.1;1346.6;1347.2
multi_range,1048576,hash_synonym,direct_cuckoo,509.43,1,1,510.0;509.4;508.8
multi_range,1048576,powerlaw:0.5,direct_cuckoo,484.77,1,1,484.9;484.4;484.8
multi_range,1048576,stale_resident,direct_cuckoo,420.47,1,1,420.4;420.5;420.5
multi_range,1048576,concentrated:0.0,direct_single_probe,1346.35,1,1,1346.2;1346.5;1346.4
multi_range,1048576,hash_synonym,direct_single_probe,509.68,1,1,509.7;509.6;510.0
multi_range,1048576,powerlaw:0.5,direct_single_probe,484.87,1,1,485.1;484.9;484.7
multi_range,1048576,stale_resident,direct_single_probe,420.49,1,1,420.1;420.6;420.5
multi_range,1048576,concentrated:0.0,gmem_privatized_cuckoo,163.05,1,1,163.0;163.1;163.1
multi_range,1048576,hash_synonym,gmem_privatized_cuckoo,81.78,1,1,81.8;81.8;81.8
multi_range,1048576,powerlaw:0.5,gmem_privatized_cuckoo,134.26,1,1,134.3;134.2;134.3
multi_range,1048576,stale_resident,gmem_privatized_cuckoo,99.37,1,1,99.4;99.5;99.3
multi_range,1048576,concentrated:0.0,gmem_privatized_single_probe,163.06,1,1,163.1;163.1;163.1
multi_range,1048576,hash_synonym,gmem_privatized_single_probe,81.70,1,1,81.7;81.8;81.7
multi_range,1048576,powerlaw:0.5,gmem_privatized_single_probe,134.35,1,1,133.9;134.4;134.4
multi_range,1048576,stale_resident,gmem_privatized_single_probe,99.30,1,1,99.3;99.6;99.3
